index,0
0,人 往往 都 快 死   才 发现 最大 遗憾   遗憾 过去 遗憾       现在   努力 不去 创造 遗憾 
1,以前 不 知道 现在 看来 每个 人 都 迅哥 笔下 祥林嫂 囧 
2,本来 还 想 视频 值 大家 投 650w 硬币 看 完 以后 只能 说 真的 值 tv _ 难过 二舅 真的 太棒了 
3,不 知道 up 知道 不 知道 考 视频 作文 
4,二舅 天才 
5,为啥 只能 投 两个 币 热 
6,那套 组合柜     小时候 家里 一套     简直 一模一样 
7,爱丽 摘头 日记   激励 考研 doge 
8,不 知道     看着 应该 很 开心 文案     眼泪 却 忍不住 淌 
9,令 感到 惊讶 二舅 从来 没有 去 抱怨 从不 回头 成为 快乐 人 点赞 
10,哭 死 算了 现在 才 看到 视频 大哭 
11,看到 视频 知道 硬币 已经 留不住 
12,心灵鸡汤 听 很 舒服 不是 人人 都 二舅 豁达 笑 哭 
13,作者 爱 二舅 
14,真的 很 感动 
15,泪目 真的 夺眶而出 奥比 岛 _ 委屈 
16,币 大于 赞 系列 代表 call call 
17,不 歌颂 苦难 
 歌颂 悲惨世界 中活 出光 普通人 
 敬 二舅 
18,现实 版 活着 敬 二舅 
19,恐怖 投币 量 
20,.... 
21,建议 拍成电影 doge 
22,感谢您 多写 一篇 心得 藏狐 
23,语文 老师上课 看 热词 系列 _ 知识 增加 
24,可恶 只能 投 两个 币 
25,事迹 挺 感人 病痛 放弃 前程 努力 谋生 抚养 子女 家庭 代表 很多 人 不 都 歇斯里 底 生活 本来 生活 艰辛 每个 人 走 路 都 不同 没 必要 关注 其他人 生活 感动 生活 家庭 奋斗 工人 农民 职业 伟大 网上 说 up 主 沽名钓誉 一点 不假 
26,没币 投 笑 哭 
27,二舅 精神 太棒了 大哭 希望 大家 都 成为 二舅 大哭 希望 国家 很多 二舅 大哭 大哭 大哭 
28,想 知道 up 人 总 感觉 很 亲切 酸 
29,没币   先欠   明天 再 保卫 萝卜 _ 哭哭 
30,好样 二舅 
31,少见 币 比赞 视频 笑 哭 
32,微笑 去 唱 生活 歌词   不要 抱怨 生活 给予 磨难   不要 抱怨 生活 中有 太多 曲折 史铁生 
33,感动 热泪盈眶 
34,学校 一模 作文题目 二舅 
35,?? ?? ?? ?? ?? ?? 
36,做 很 好 希望 再 出 二舅 讲述 人生 视频 
37,每个 人 心里 都 二舅 
38,放弃 精神 内耗 二舅 学学 热词 系列 _ 三连 
39,生活 笑 生活 
40,不要 抱怨 生活 积极 工作 加班 call 
41,1000 人 看 
42,明天 上班 大哭 
 再 来看 一遍 没有 过不去 坎 奋斗 
43,结局 配乐 太棒了 
44,拜 年纪 2022 _ 摸鱼 
45,牛 
46,赞美 苦难 苦难 苦难 苦难 对比 苦难 告诉 苦难 不值一提 一头 驴 爬山 累 步履蹒跚 驴 没有 停下 脚步 埋头 苦 爬 后面 一群 人 讨论   驴 爬山 精神 治好 内耗 却 没人 愿意 驴 车上 下来 没人 愿意 去 看 抽 驴 身上 鞭子 根 ?? 
47,欠 俩币 回来 补 
48,永远 二舅 
49,少见 币 比赞 视频 笑 哭 
50,流量 明星 相比 二舅 更活 出 第二个 人生 
51,太强 
52,牛 逼 
53,病 四年 不得不 接受 缺点 佩服 二舅 身体 限制 条件 里 创造 人生 价值 还 帮助 村子 里 老年人 
 说 视频 歌颂 苦难 不是 歌颂 苦难 二舅 样子 最怕 人 同情 
54,视频 现在 五百个 人 看 真的 牛批 tv _ doge 
55,感动   热泪盈眶 
56,二舅 无敌 
57,写 好 很 感人 call 
58,二舅 可贵 乃至于 伟大 可悲 人性 不 健全 乃至于 低劣 
59,年代 人 遇到困难 大多 想 办法 解决困难 小时候 父母 不 在家 外公 外婆 带大 外公 不会 数学题 去 问 一边 打着 小霸王 游戏机 一边 默默 心里 算 出 答案 告诉 会 去 解题 人 笑 哭 读书 一心多用 人 一边 街边 老头 下象棋 一边 心里 刷题 每次 考试 都 第一 别人 看 永远 玩 外公 影响 我太多 习惯性 找 问题 解决问题 导致 不太能 理解 现在 人 遇到 一丁点 问题 手足无措 
60,视频 不是 撤 推送 上 首页 
61,反复 看 好多遍 感动 大哭 
62,少见 币 比赞 视频 笑 哭 
63,言传 身教 保卫 萝卜 _ 哭哭 
64,天才 一生 就算 再 普通 天才 大哭 
65,学会 治愈 更好 一点 再 好 一点 
66,神 二舅 
67,看 二舅 总有 办法 热词 系列 _ 妙 
68,今天 作文课 上 讲 
69,对不起 没有 硬币 Kizuna   AI _ 哭哭 
70,每个 村子 里 都 会 守村 人 爱心 
71,感觉 印象 里 见 人   遥远   该是 还 高中 懵懂 时 去 父亲   不是 同样 性格   同样 感觉   
 现在 头 回不去   北漂 五年 只能 向前 看 大哭 
72,突然 读懂 活着 难过 
73,一哥   二舅   写 一篇 作文 笑 哭 
74,新 时代 青年 力量 感动 热泪盈眶 激励 努力 加油 
75,不要 抱怨 生活 积极 工作 加班 call 
76,二舅   优秀 人儿 支持 
77,只 想 说 牛 Bi 二舅 外甥 都 
78,? 无 遗憾 没有 必要 
 人生 必然 
 明天 依然 昨天 心中 
 回头 今天 起步 
 外部 看来 辉煌 凄惨 
 不 影响 一步 坚定 
79,不要 抱怨 生活 积极 工作 加班 call 
80,感动   震撼 热词 系列 _ 三连 
81,世界 以痛 吻 报之以 歌 
82,不要 回头 看 怀抱 希望 一步 一步 向前走 拥抱 
83,村 二舅 小 印象 深刻 说话 含糊不清 听懂 意思 每天 杵 拐杖 下象棋 闲聊 喜欢 逗 小孩子 凌晨 依稀 听到 拐杖 声 帮忙 杀猪 声音 普通 成年人 2 个人 才能 定住 却 人 上 当地 电视台 上 报纸 
84,看到 最后 几分钟 没 忍住 鼻子 抽 哭 出来 
85,一杯 敬 明天   一杯 敬 过往 
86,宝藏 up 
87,点赞 没有 投币 人均 三连 
88,并不知道 文案 究竟 写 才能 写成 确实 觉得 很 好 三连 一手 期待 下 作品 
89,视频 十一 分钟 感觉 看 一部 电影 热词 系列 _ 你币 
90,感动   热泪盈眶 
91,最后 一幕 我想 加个 结尾 总结 神话   传说   传奇 
92,回头 寸步 未行 自卑 情绪 知道 奇怪 行为 人 厌恶 只能 回忆 里 找 本来 样子 大哭 大哭 大哭 大哭 
93,感动   热泪盈眶 
94,不要 抱怨 生活 积极 工作 加班 call 
95,期待 下 一篇 散文 支持 
96,永远 感动 永远 热泪盈眶 支持 
97,历史 老师 太强 呜呜 呜呜 呜呜 … 
98,一期 视频 涨 百万 粉 系列 doge 
99,对不起 没有 币 下次 绝对 会 
100,感动   热泪盈眶 
101,感动   热泪盈眶 
102,希望 up 视频 收益 用于 提升 二舅 生活 质量 
103,恭喜 四千万 播放 ~ ~ ~ 
104,常看 常新 
105,不要 抱怨 过去 没 办法 后悔 把握 现在 保卫 萝卜 _ 保卫 萝卜 _ 
106,准 高三 生   老师 要求 视频 写 议论文 call 
107,推荐 电影   天 注定 
108,四千万 祝贺 
109,好 奇怪 不 知道 看着 看着 笑 一声 突然 眼泪 落 下来 
110,哈哈哈哈 哈哈哈 
111,四千万 祝贺 call call 
112,看 完 莫名 落泪   写 太好了 
113,四千万 助攻 
114,每个 人 都 生活 里 沉沦 都 书写 故事   加油 奋斗者 
115,希望 每个 努力 人 都 得到 应有 回报 夏日 冰品 _ 呜呜 夏日 冰品 _ 呜呜 
116,新 时代 青年 力量 感动 热泪盈眶 激励 努力 加油 
117,短短的 十几分钟 记录 二舅 大半生 敬 二舅 
118,不要 抱怨 生活 积极 工作 加班 call 
119,up 说 两类 快乐 人 其实 都 知足常乐 人 
120,真棒 热泪盈眶 希望 四十岁 之前 写出 撼动 人心 作品 努力 
121,遇到 苦难         那用 方式     去过 生活 
122,优秀 二舅 支持 
123,少见 投币 比点 赞多 三连 希望 大家 都 加油 call 
124,试试看 点赞 
 新 时代 青年 力量 感动 热泪盈眶 
 希望 up 视频 收益 用于 提升 二舅 生活 质量 
 感动   热泪盈眶 
 看 微博 b 站 评论 发现 微博 真的 wc 风向 突然 转换 快 真的 不 觉得 离谱 … … 说实话 关注 up 不是 二舅 写 真的 很 喜欢 文案 有趣 作品 希望 up 越来越 好 小 电视 _ 太太 喜欢 
 敬 二舅 
125,up 说 两类 快乐 人 其实 都 知足常乐 人 
126,仅 硬币 以表 敬意 
127,加油 二舅 
128,厉害 二舅 
129,大家 都 好 正 能量 支持 
130,希望 每个 努力 人 都 得到 应有 回报 call 
131,很棒   认真 生活 下去 
132,希望 二舅 越过 越 好 call 
133,不要 抱怨 生活 积极 工作 加班 call 
134,看 这期 视频 感觉 心里 好像 没有 悸动 看看 看着 流下 泪 止不住 不断 流 想 止住 做 不到 看 完 沉默 好久 想 不 明白 想 不 明白 
135,二舅 教会 不要 抱怨 
136,新 时代 青年 力量 感动 热泪盈眶 激励 努力 加油 
137,优秀 二舅 支持 
138,很 好 视频 ?? ?? 
139,永雏塔菲 _ 亲嘴 
140,谢谢 二舅 
141,希望 up 视频 收益 用于 提升 二舅 生活 质量 
142,希望 up 视频 收益 用于 提升 二舅 生活 质量 
143,优秀 人儿 
144,新 时代 青年 力量 感动 热泪盈眶 
145,感动   热泪盈眶 
146,相信 点赞 都 水军 tv _ 思考 
147,奇才 奇才 可叹 可敬 
148,感动   热泪盈眶 
149,二舅 好样 
150,阿梓 _ 真 接受 不了 阿梓 _ 真 接受 不了 阿梓 _ 真 接受 不了 阿梓 _ 真 接受 不了 
151,新 时代 青年 力量 感动 热泪盈眶 
152,二舅   成功 激励 去 努力 
153,新 时代 青年 力量 感动 热泪盈眶 
154,好 哈哈哈哈 哈哈哈哈 歪嘴 嗑瓜子 嘟嘟 喜欢 吃瓜 call 笑 哭 歪嘴 
155,希望 up 视频 收益 用于 提升 二舅 生活 质量 
156,每个 人 生命 都 一篇 不朽 诗歌 
157,谢谢 二舅 
158,期 文案 非常 好 支持 
159,希望 二舅 继续 安静 活下去 
160,感动   热泪盈眶 
161,感动   热泪盈眶 
162,二舅 是不是 想 说 
163,感动   热泪盈眶 
164,其实 视频 里 虚构 都 觉得 这是 一部 很 优秀 作品 二舅 之前 关注 up 看 视频 真的 有所 感悟 希望 二舅 以后 生活 更好 up 加油 保卫 萝卜 _ 笔芯 
165,特别 棒 视频 
166,见 唯一 币 比点 赞多 视频 
167,其实 视频 里 虚构 都 觉得 这是 一部 很 优秀 作品 二舅 之前 关注 up 看 视频 真的 有所 感悟 希望 二舅 以后 生活 更好 up 加油 保卫 萝卜 _ 笔芯 
168,内容 很 好 非常 打动 人心 字幕 不 知道 怎么回事 好多 地用 错 看得 很 难受 大哭 
169,学习 二舅 精神 不 希望 遭遇 落 身上 
170,600 万 投币 b 站 最 疑惑 
171,是不是 编 只 希望 作者 不要 所有 钱 全恰 帮 帮帮 
172,up 这种 视频 风格 很 符合 现在 口味 多来 整点 doge 
173,好酷 视频 
174,看 微博 b 站 评论 发现 微博 真的 wc 风向 突然 转换 快 真的 不 觉得 离谱 … … 说实话 关注 up 不是 二舅 写 真的 很 喜欢 文案 有趣 作品 希望 up 越来越 好 小 电视 _ 太太 喜欢 
175,感动   热泪盈眶 
176,看看 百度 深刻 体会 作品 火 会 无数 个人 找茬 这一 道理 藏狐 
177,首次 三连 敬 二舅 
178,希望 现实 里 二舅 借着 视频 更好 生活 
179,感动   热泪盈眶 
180,赞 
181,想起 白鹿原   后悔 不能 后悔   后悔 不能 改变 一块 心病 跟随 一辈子 更 严重 会 变成 心魔 
   不 后悔   鹿三 不会 成为 悲剧 
182,二舅 真是 优秀 人儿 支持 希望 大家 都 二舅 生活 
183,感动   热泪盈眶 
